 0.48914E+05 0.17044E+03 0.00000E+00   101491        3    0        0 0.308E+00
 1  48376.  551.176013  0.271371184
 2  48934.  329.935398  0.273389275
 3  48990.  213.842906  0.246924898
  48917.4594  170.112441  0.246924898  4.2987056
