 0.21981E+05 0.13325E+03 0.00000E+00   508013    33367    8     6769 0.308E+00
   6    0.21710E+05    0.45168E+03    0.52634E+01    0.72011E+07
   7    0.22034E+05    0.26021E+03    0.42251E+01    0.41927E+07
   8    0.21994E+05    0.16518E+03    0.37999E+01    0.28695E+07
