 0.14831E+11 0.00000E+00 0.10517E+09  2040000   100000    8     1182 0.797E-07
   6    0.14822E+11    0.27034E+09    0.92284E+01    0.25831E+14
   7    0.14990E+11    0.20014E+09    0.95536E+01    0.26902E+14
   8    0.14754E+11    0.13897E+09    0.95313E+01    0.55945E+14
